Group Code,Group Name,Class Code,Class Name,Position Code,Position Name,Subposition Code,Subposition Name,MXIK Code,MXIK Name,Fetched At
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00201,"Yangi, sovutilgan yoki muzlatilgan qoramol go’shti",00201002,"Yangi, sovutilgan yoki muzlatilgan qoramollarning to’liq va yarim qovurg’a suyaklari",00201002001,"Yangi, sovutilgan yirik qoramol to’liq va yarim qovurg’a go’shti (mol go’shti)",00201002001000000,"Final code for 00201002001",2025-08-13T20:21:05.156Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00201,"Yangi, sovutilgan yoki muzlatilgan qoramol go’shti",00201002,"Yangi, sovutilgan yoki muzlatilgan qoramollarning to’liq va yarim qovurg’a suyaklari",00201002002,"Muzlatilgan yirik qoramol to’liq va yarim qovurg’a go’shti (mol go’shti)",00201002002000000,"Final code for 00201002002",2025-08-13T20:21:05.511Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00201,"Yangi, sovutilgan yoki muzlatilgan qoramol go’shti",00201003,"Yangi, sovutilgan yoki muzlatilgan, kesib olingan lahm yirik qoramol go’shti",00201003001,"Yangi, sovutilgan suyakli mol go’shti",00201003001000000,"Final code for 00201003001",2025-08-13T20:21:06.142Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00201,"Yangi, sovutilgan yoki muzlatilgan qoramol go’shti",00201003,"Yangi, sovutilgan yoki muzlatilgan, kesib olingan lahm yirik qoramol go’shti",00201003002,"Suyakli mol go’shti, muzlatilgan",00201003002000000,"Final code for 00201003002",2025-08-13T20:21:06.469Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00203,"Cho’chqa go’shti, yangi so’yilgan, sovutilgan yoki muzlatilgan",00203001,"Lahm go’sht",00203001001,"Sovutilgan lahm cho’chqa go’shti",00203001001000000,"Final code for 00203001001",2025-08-13T20:21:07.125Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00203,"Cho’chqa go’shti, yangi so’yilgan, sovutilgan yoki muzlatilgan",00203001,"Lahm go’sht",00203001002,"Cho’chqa go’shti qiymasi",00203001002000000,"Final code for 00203001002",2025-08-13T20:21:07.441Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00203,"Cho’chqa go’shti, yangi so’yilgan, sovutilgan yoki muzlatilgan",00203001,"Lahm go’sht",00203001003,"Muzlatilgan lahm cho’chqa go’shti",00203001003000000,"Final code for 00203001003",2025-08-13T20:21:07.786Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00203,"Cho’chqa go’shti, yangi so’yilgan, sovutilgan yoki muzlatilgan",00203002,"Yangi, sovutilgan yoki muzlatilgan lahm cho’chqa go’shti",00203002001,"Yangi, sovutilgan bo’lingan cho’chqa go’shti",00203002001000000,"Final code for 00203002001",2025-08-13T20:21:08.389Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00203,"Cho’chqa go’shti, yangi so’yilgan, sovutilgan yoki muzlatilgan",00203002,"Yangi, sovutilgan yoki muzlatilgan lahm cho’chqa go’shti",00203002002,"Muzlatilgan bo’lingan cho’chqa go’shti",00203002002000000,"Final code for 00203002002",2025-08-13T20:21:08.735Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00203,"Cho’chqa go’shti, yangi so’yilgan, sovutilgan yoki muzlatilgan",00203003,"Yangi, sovutilgan yoki muzlatilgan qovurg’a yoki yarim qovurg’a suyaklari",00203003001,"Muzlatilgan qovurg’a yoki yarim qovurg’a suyaklari cho’chqa go’shti",00203003001000000,"Final code for 00203003001",2025-08-13T20:21:09.212Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00203,"Cho’chqa go’shti, yangi so’yilgan, sovutilgan yoki muzlatilgan",00203003,"Yangi, sovutilgan yoki muzlatilgan qovurg’a yoki yarim qovurg’a suyaklari",00203003002,"Yangi so’yilgan qovurg’a yoki yarim qovurg’a, sovutilgan cho’chqa go’shti",00203003002000000,"Final code for 00203003002",2025-08-13T20:21:09.529Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204001,"Yangi, sovutilgan yoki muzlatilgan lahm qo’y go’shti",00204001001,"Bo’lingan yangi, sovutilgan lahm qo’y go’shti",00204001001000000,"Final code for 00204001001",2025-08-13T20:21:10.183Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204001,"Yangi, sovutilgan yoki muzlatilgan lahm qo’y go’shti",00204001005,"Bo’lingan muzlatilgan lahm qo’y go’shti",00204001005000000,"Final code for 00204001005",2025-08-13T20:21:10.523Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204002,"Lahm qo’y go’shti",00204002001,"Sovutilgan, yangi so’yilgan lahm qo’y go’shti",00204002001000000,"Final code for 00204002001",2025-08-13T20:21:10.974Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204002,"Lahm qo’y go’shti",00204002002,"Muzlatilgan qo’y go’shti",00204002002000000,"Final code for 00204002002",2025-08-13T20:21:11.351Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204002,"Lahm qo’y go’shti",00204002003,"Qo’y go’shti qiymasi",00204002003000000,"Final code for 00204002003",2025-08-13T20:21:11.676Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204003,"Yangi, sovutilgan yoki muzlatilgan qo’y qovurg’asi yoki yarim qovurg’a suyaklari",00204003001,"Yangi so’yilgan, sovutilgan qo’y qovurg’asi yoki yarim qovurg’a go’shti",00204003001000000,"Final code for 00204003001",2025-08-13T20:21:12.165Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204003,"Yangi, sovutilgan yoki muzlatilgan qo’y qovurg’asi yoki yarim qovurg’a suyaklari",00204003002,"Muzlatilgan qo’y qovurg’asi yoki yarim qovurg’a suyaklari",00204003002000000,"Final code for 00204003002",2025-08-13T20:21:12.499Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204004,"Bo’lingan yangi, sovutilgan yoki muzlatilgan lahm echki go’shti",00204004001,"Bo’lingan yangi, sovutilgan echki go’shti",00204004001000000,"Final code for 00204004001",2025-08-13T20:21:12.981Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204004,"Bo’lingan yangi, sovutilgan yoki muzlatilgan lahm echki go’shti",00204004002,"Bo’lingan muzlatilgan echki go’shti",00204004002000000,"Final code for 00204004002",2025-08-13T20:21:13.399Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204005,"Lahm echki go’shti",00204005001,"Yangi, sovutilgan echki go’shti",00204005001000000,"Final code for 00204005001",2025-08-13T20:21:13.966Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204005,"Lahm echki go’shti",00204005002,"Muzlatilgan echki go’shti",00204005002000000,"Final code for 00204005002",2025-08-13T20:21:14.355Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00204,"Qo’y yoki echki go’shti yangi so’yilgan, sovutilgan yoki muzlatilgan",00204005,"Lahm echki go’shti",00204005003,"Echki go’shti qiymasi",00204005003000000,"Final code for 00204005003",2025-08-13T20:21:14.680Z
